AGÊNCIA,SERVIÇOS/FORNECEDOR(ES),CNPJ  FORNECEDOR/VEÍCULO,BRUTO,LIQUÍDO,PAGAMENTO
AGÊNCIA NACIONAL DE PROPAGANDA LTDA,G&S IMAGENS DO BRASIL,02.195.059/0001-08,191,164.9950934,2/6/2020 0:00
AGÊNCIA NACIONAL DE PROPAGANDA LTDA,VAPT FILMES PRODUÇÕES EIRELI,22.380.095/0001-59,520,470.86,2/6/2020 0:00
AGÊNCIA NACIONAL DE PROPAGANDA LTDA,00PX  TECNOLOGIA DA INFORMAÇÃO E PUBLICIDADE EIRELI,30.538.933/0001-06,35640,33858,2/6/2020 0:00
AGÊNCIA NACIONAL DE PROPAGANDA LTDA,00PX TECNOLOGIA DA INFORMAÇÃO E PUBLICIDADE EIRELI,30.538.933/0001-06,36360,34542,2/26/2020 0:00
PROPEG COMUNICAÇÃO S/A,LIRA HARMONIA MUSICAL E AUDIO LTDA,27.283.879/0001-82,12300,12256.6439,2/6/2020 0:00
PROPEG COMUNICAÇÃO S/A,MANDRILL FILMES EIRELI ME ,19.416.363/0001-30,130000,129541.8341,2/17/2020 0:00
PROPEG COMUNICAÇÃO S/A,SPACE TECNOLOGIA E INTELIGENCIA LTDA.,23.831.065/0001-84,57306.72,54441.38,2/26/2020 0:00
PROPEG COMUNICAÇÃO S/A,GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S/A,27.865.757/0001-02,6000,5432.986563,2/26/2020 0:00
PROPEG COMUNICAÇÃO S/A,GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S/A,27.865.757/0001-02,230,208.2644849,2/26/2020 0:00
PROPEG COMUNICAÇÃO S/A,RADIO E TELEVISÃO BANDEIRANTES S.A.,60.509.239/0001-13,230,208.2644849,2/26/2020 0:00
PROPEG COMUNICAÇÃO S/A,TV SBT CANAL 4 DE SÃO PAULO S/A ,45.039.237/0001-14,230,208.2644849,2/26/2020 0:00
PROPEG COMUNICAÇÃO S/A,ADTOOX - SOLUÇÕES TECNOLÓGICAS LTDA,18.301.905/0001-67,231,209.1699827,2/26/2020 0:00
PROPEG COMUNICAÇÃO S/A,SQUAD PRODUTORA MUSICAL LTDA,30.635.505/0001-93,16300,16300,2/26/2020 0:00
